Original Price,FOB,Ref No,Make,Name,Grade,Model,Body Type,Color,R Year / Month,P Year,Port,,Mileage,CC,Fuel,Door,Seat,Transmission,Drive,Dimension(L*W*H),M3,Stereo,Tyre Size,Stock Title
,,R00155019,TOYOTA,LAND CRUISER PRADO,TX L-PKG,CBA-TRJ150W,SUV,BLACK,2016 / 2,2016,OSAKA,,"71,000km",2690cc,Gasoline/Petrol,5,5,AT,4WD,476 * 188 * 189 (cm),16.913,2DIN-SIZE NV TV DVD CD RADIO,265/65R17,2016 TOYOTA LAND CRUISER PRADO
,,R00168798,TOYOTA,AQUA,L,DAA-NHP10,HATCHBACK,SILVER,2018 / 2,2018,YOKOHAMA,,"164,000km",1490cc,Gasoline/Petrol,5,5,AT,2WD,405 * 169 * 145 (cm),9.925,2DIN-SIZE NV TV CD RADIO,185/60/R15,2018 TOYOTA AQUA
